,con_0bk,roi-007,roi-018,roi-022,roi-153,roi-154,roi-160,roi-163,roi-187,roi-198,roi-202,roi-333,roi-334,roi-340,roi-343,sub
24,face,5.898320871595801,3.069517335200028,2.9065066250041127,-1.7298033041507006,0.870067898905085,-0.9561053165985692,4.124734324630068,5.344951437480414,4.099795063432937,4.131340245085378,-0.4597590530549388,1.8979660079105576,1.2012505071398654,3.4163576455301596,499566
25,place,6.454130645954248,2.9305082723573856,4.007209723815322,2.803382390240828,6.2353379505295905,5.356425305287684,3.3070818891733134,7.670925514021916,3.013921212742639,5.6939713339651785,3.711735162478272,6.375587997151844,7.852708860679909,6.113854967339449,499566
26,tool,5.5086159200379345,2.94665827743105,5.580408415291458,0.21912687107920648,4.470496233672865,2.271571183396924,3.0726932123178194,5.552581633872061,2.4977277072462423,6.316284598842744,0.9660665775178978,4.583695010462804,2.6921459472519746,5.182474432622685,499566
27,face,3.3154600420684526,4.403693176958572,4.672941624419764,-1.0331085239692281,-0.5955787084756359,-1.1592303444481185,4.28025076832591,3.386509540032095,3.6385320500819263,5.806199156468915,-1.6864088297923012,-1.062058375898137,-0.7987492633178647,2.837000935314959,561444
28,place,5.357784948565743,2.415291092850935,4.583332528593019,-1.2503989390532175,4.661220955872728,1.829916335882679,2.5689875862929,4.672518087203489,1.6143809066478119,3.9324918547945638,-1.8026575367934634,3.286626910540595,0.951984278075857,4.125718753980551,561444
29,tool,3.943565372038971,3.6235991847273468,6.436007486656308,-0.655541506409645,2.3668309631607225,-0.0045980826741264715,4.386501561443345,5.27661533853901,1.8855858609156564,6.556417674787583,-1.9314165741555613,0.7601004248457168,-0.4208720830027704,2.975291124098942,561444
30,face,5.783260982596513,4.027462001801846,3.9311266290023923,-0.6898950184384982,2.2839290302607322,-0.5710456527529224,3.974368927609019,5.704698804599135,5.230126168339225,5.844240761572315,-0.5415058881689859,3.4292665513148948,0.882731161735676,3.869373793862447,618952
31,place,7.614978100314285,3.061459357057371,7.1644370928406715,1.3505142728984356,6.17621917734223,1.1377122556985986,5.10532023901699,10.279176633749435,3.2654154386523873,4.806640111630963,1.4965811534508104,8.887034024765242,4.714895412601806,5.596907106642964,618952
32,tool,6.208215222214207,3.450601671935638,7.188665583729744,1.4630828498862685,5.421810243398912,1.7986228772469106,5.122001434574608,6.370549525787581,3.045463181944967,4.9476177620310935,0.37728808551455045,6.263894960061828,1.4522945021658584,4.406704714506113,618952
33,face,4.046235363591801,7.198428115329227,5.479731298983097,-0.45961540391047795,1.9595281849465063,-0.3313150170950159,2.1921919750503633,5.563482044348076,5.28286920282554,4.773970316224281,-0.8659368731671631,1.2343502698549584,0.08030685127057412,1.9675101023323898,680452
34,place,7.056116777839082,4.282775257286188,4.5393873658031225,1.511780604198575,3.93279952579929,1.5969740513922466,4.868028888181478,8.384616131213173,5.08419726876139,5.148459263866948,2.080454236837012,7.16813525513037,4.599115002302476,4.4219365069220045,680452
35,tool,5.059308097218022,3.390807225192721,3.668675352819264,-0.3563748687009017,2.6651358892840724,-0.5170341922691272,3.71236572921777,5.9848704943016395,3.9721310113213564,4.852216318670299,0.13877961924760648,4.210061313056234,2.143416573557957,3.874534953299503,680452
36,face,4.5037965816304535,5.087649424535197,4.681032148189843,-1.4186937792226673,0.15252420204060693,-1.6399243675893354,3.1602016570038716,2.3298325078256092,3.3904573675823717,4.796767672704112,-1.732837110296777,-1.3362804609211856,-1.9105309025372987,2.046324528463208,757764
37,place,7.660697310372735,2.957314015827079,5.403113199397922,-0.18480969441433748,6.73345422744751,3.318861634800992,4.915664913774538,7.316401432699232,3.514359008934763,3.425034824758768,0.5822496576013394,3.7850612098934935,2.4071530188077395,5.024266625652794,757764
38,tool,6.2696359919553455,4.574786069651915,7.133444854989648,-0.27504805179933706,4.966406934684323,0.9339107909510213,4.770027729486968,6.427572042194765,4.432512695590655,2.9125273131555125,0.3126141020825299,4.4506446198741,1.265974407762657,4.734737172347157,757764
39,face,4.9647800243374975,4.6185363897073675,5.08394896419486,0.7082953079044819,0.1686587033552989,0.016244097308616243,3.834689015311291,2.777419376951545,5.723605320511157,5.287946626543999,1.068849871764974,0.4372495916018735,0.4244314093878608,3.1667008332970763,841349
40,place,6.439645337335991,2.9957126285456046,5.229819157830207,3.1249613992373146,4.492504763266733,4.647876298235309,4.276360931767135,6.3494329879533,2.864604119603571,4.308759283154242,2.0425896851143035,3.253634777531695,4.390329229610938,2.8761478280570327,841349
41,tool,6.904143438194737,3.7791472680463984,6.721733534708619,1.0037090794121226,3.826556149990328,2.366693389271536,5.089648804243873,7.955231524225491,3.5534143687078825,6.319056011015369,1.8232959247111242,3.243562520884756,3.086329436412564,3.7630640426728905,841349
42,face,5.244521508388447,3.778856473244928,3.946248346590437,-0.7657520584762096,0.039175784035075094,-0.5624142484288783,2.097056030882757,6.395106991725181,4.117526653348006,4.632275011585725,-0.05223300820677587,2.316879316052394,-0.26281113736331463,2.629833507077659,908860
43,place,8.219202438990274,3.120030336182665,5.931590715656057,2.2899911227822303,4.013888261491252,0.08424189371327238,2.9988296704382456,8.414639070852479,3.109180202905078,5.516933488269006,2.1050563059968526,4.800227460576527,3.05834460819577,3.7050916769487015,908860
44,tool,7.0065333770983145,3.1996596204054013,5.682685203035362,0.8427827928960323,1.9397424411389135,-0.18307085833962886,2.733757862774264,6.6433569673282,3.722593436507802,7.728803013601611,-0.19742775037377555,3.7008607796768644,1.321742449277713,3.511743286076714,908860
45,face,4.307983258739114,3.9400492563239626,2.698856611037627,-2.056090662678083,0.36991630867123604,-2.8624863232215567,2.3686404823317746,4.49243476942404,4.586058895585634,4.833470088820303,-1.2019843067973852,-0.1433908643214894,-0.7580285460722668,1.5156927588278382,103818
46,place,8.581318719820542,5.348879471622609,4.991475383634679,-0.35071496255074935,3.293631268905536,0.5836075030327323,6.0169546671775205,9.407553348245461,6.535135303367997,5.638102424721564,-0.7423450833942631,5.071620649255034,2.8862830690671633,5.062886971714241,103818
47,tool,4.6289144784889436,4.935743143530311,4.050897952984087,-0.7529249663154284,0.8096992568142952,-1.75612202926629,3.354871446251118,7.258271909471768,6.654446802641216,4.245281693074973,-1.1542877109287915,1.68833174979064,-0.1849683535538246,3.1339169715006814,103818
48,face,4.2444959017024795,5.345253593930219,6.80944043956697,0.7235684065024058,1.297257777423628,2.6405232509057366,1.922046230957225,4.8812173464849815,4.8193948177392025,8.089191705469162,-0.4404010071170212,0.6257469268001393,2.7709087829801176,1.065469005779058,113922
49,place,6.914937302921757,3.6387133112057692,4.298968664603308,2.7615782093132535,6.313107057925193,4.33037161394473,4.235193994365821,7.9093516902692285,2.4392914960258887,4.139449891003389,2.448541360658289,6.360300741978546,4.934045922333076,3.103794282090952,113922
50,tool,3.4932544725580197,3.307916001945331,2.5116750586312264,-0.5084614261736472,3.1088129915597458,0.0768476293211983,3.1619075559580527,5.207608148191514,2.298438216510572,2.700536015353376,0.7803801678969423,4.0849405424808385,2.5919343940223807,3.217535347435154,113922
51,face,5.517180948433551,4.534655376463323,4.580285105854273,-0.5777838023006916,1.29417033890082,0.8132379933170253,2.7336883621227717,4.01167925836435,4.927355765642827,7.631375009013761,-0.33145042328108654,-0.03064339418909443,-0.32662293320682684,1.805756133456691,121618
52,place,4.386134753568155,1.9229030174712927,4.9308356759138405,1.6357062548802546,2.7337447392844383,2.866310831279524,3.009531605300032,5.075166863736822,2.2827283890798076,5.300190382907467,0.9980075027756762,2.034679648702714,3.2171464290147944,2.853076854798974,121618
53,tool,3.4113073155114595,1.7025810712098923,3.926670066313818,-1.1122552993396917,1.5031810341583145,0.5758087068135219,1.7538100218306445,3.3309215199369104,2.8147964575355164,4.768939260303253,-0.3898908206547546,1.441988048060283,1.0456526218913496,2.015979232008524,121618
54,face,6.030344501589283,3.4554977926450805,4.006756565300748,0.14144934117794036,1.4807412601526706,1.1357809931881004,2.8386410985674178,4.518121517416256,3.8313834286343895,4.464679456045551,-1.1153491541540417,1.1143128772304436,-0.08590723091253528,1.6385976892715992,130619
55,place,7.270243763472095,2.55656478715104,5.189287717919797,2.7503909459585945,4.965124007194273,4.027995050674485,3.1467616457605594,5.696457298833932,2.190082456922017,4.4644140476180665,1.4439838132267762,5.198619206449878,3.11933548119563,2.9849766361049745,130619
56,tool,7.170692084413586,3.849880098774274,4.87596979632508,0.3182324192921321,5.610600359978214,2.327748626530651,4.605786723875198,5.812950321097873,3.4437287527392484,5.495000801619984,0.09724294471711216,6.12853275751,2.549692819354895,3.985791515527653,130619
57,face,4.518442670504252,4.258674779051059,4.820331571856514,-0.1314917964488268,0.14514371480852847,-0.988275001396335,2.0334537459787825,4.42577506045797,4.136585182962362,5.424568286345851,0.12685822516605996,1.5610561156645417,0.13835610898016135,1.6223321611699042,137229
58,place,5.648584033503677,3.518152154352818,3.4524313988658832,1.7935210958123207,1.679317505489434,1.9132752173069505,3.309540241142782,6.513489744556484,3.335866001768893,5.15529259582681,1.571469944708123,4.446641943347988,3.4278101330554045,3.399688820409424,137229
