,Activation,ROI,Contrast
127,-0.28105127008321384,roi26,EMOTION_SHAPES
128,0.3774938080335657,roi26,EMOTION_SHAPES
129,-0.7226785432609419,roi26,EMOTION_SHAPES
130,-0.13472450146451592,roi26,EMOTION_SHAPES
131,0.5176740007847548,roi26,EMOTION_SHAPES
132,-1.353645429002742,roi26,EMOTION_SHAPES
133,-0.8421227542931835,roi26,EMOTION_SHAPES
134,0.08321340664445112,roi26,EMOTION_SHAPES
135,1.3734726010759672,roi26,EMOTION_SHAPES
136,-1.3292318985952685,roi26,EMOTION_SHAPES
137,-0.8959469080219665,roi26,EMOTION_SHAPES
138,-0.6112054096410672,roi26,EMOTION_SHAPES
139,0.6446916818246246,roi26,EMOTION_SHAPES
140,-0.5322272879762264,roi26,EMOTION_SHAPES
141,-0.9775167679289976,roi26,EMOTION_SHAPES
142,-0.006399325020611286,roi26,EMOTION_SHAPES
143,-0.9754086195987962,roi26,EMOTION_SHAPES
144,-1.1847468026479084,roi26,EMOTION_SHAPES
145,0.009796683403352897,roi26,EMOTION_SHAPES
146,0.1465188810081842,roi26,EMOTION_SHAPES
147,-1.0855006560658755,roi26,EMOTION_SHAPES
148,0.5388605202330897,roi26,EMOTION_SHAPES
149,0.4413996960222721,roi26,EMOTION_SHAPES
150,-0.2567611008075376,roi26,EMOTION_SHAPES
151,-0.3182453092435996,roi26,EMOTION_SHAPES
152,-0.25601541799803573,roi26,EMOTION_SHAPES
153,0.8024856667096416,roi26,EMOTION_SHAPES
154,-0.37661897553751866,roi26,EMOTION_SHAPES
155,-0.6820376911883553,roi26,EMOTION_SHAPES
156,-0.12402421101927756,roi26,EMOTION_SHAPES
157,-2.217811398555835,roi26,EMOTION_SHAPES
158,-0.6792537927534431,roi26,EMOTION_SHAPES
159,-1.013319254022402,roi26,EMOTION_SHAPES
160,1.174275654918359,roi26,EMOTION_SHAPES
161,-0.8278704838454723,roi26,EMOTION_SHAPES
162,0.1987827417254448,roi26,EMOTION_SHAPES
163,-0.6864555757865308,roi26,EMOTION_SHAPES
164,-1.0994070019821327,roi26,EMOTION_SHAPES
165,1.4232284750168522,roi26,EMOTION_SHAPES
166,-0.556103932398061,roi26,EMOTION_SHAPES
167,-2.3403090837101144,roi26,EMOTION_SHAPES
168,1.0318370951743177,roi26,EMOTION_SHAPES
169,0.45307361101110777,roi26,EMOTION_SHAPES
170,1.3260054414113984,roi26,EMOTION_SHAPES
171,1.6070136665180323,roi26,EMOTION_SHAPES
172,0.8153718991080918,roi26,EMOTION_SHAPES
173,-0.9060925743915139,roi26,EMOTION_SHAPES
174,-0.3802457038313151,roi26,EMOTION_SHAPES
175,1.50827850406679,roi26,EMOTION_SHAPES
176,-1.1518256598702643,roi67,EMOTION_SHAPES
177,-1.5236997087979647,roi67,EMOTION_SHAPES
178,-1.6113460297966675,roi67,EMOTION_SHAPES
179,-1.2545841789765773,roi67,EMOTION_SHAPES
180,-1.4978707932270547,roi67,EMOTION_SHAPES
181,-1.515791153955844,roi67,EMOTION_SHAPES
182,-0.19520032114224845,roi67,EMOTION_SHAPES
183,0.3699630073964819,roi67,EMOTION_SHAPES
184,0.27718852585705195,roi67,EMOTION_SHAPES
185,-0.11165782765481054,roi67,EMOTION_SHAPES
186,-1.4910943486131212,roi67,EMOTION_SHAPES
187,-1.975620917621828,roi67,EMOTION_SHAPES
188,-1.0427706187960053,roi67,EMOTION_SHAPES
189,-0.2353818990281581,roi67,EMOTION_SHAPES
190,-1.4176107406238532,roi67,EMOTION_SHAPES
191,-1.1330491383538543,roi67,EMOTION_SHAPES
192,-1.2907339033374587,roi67,EMOTION_SHAPES
193,-1.175750402858146,roi67,EMOTION_SHAPES
194,0.7689214342405946,roi67,EMOTION_SHAPES
195,-0.28343200839708305,roi67,EMOTION_SHAPES
196,-1.2645750241482863,roi67,EMOTION_SHAPES
197,-1.0022765627755323,roi67,EMOTION_SHAPES
198,-1.137760891428878,roi67,EMOTION_SHAPES
199,0.026735081423228512,roi67,EMOTION_SHAPES
200,-1.8923394978658,roi67,EMOTION_SHAPES
201,-2.050169979981769,roi67,EMOTION_SHAPES
202,-1.511778278825676,roi67,EMOTION_SHAPES
203,-1.1323339498949487,roi67,EMOTION_SHAPES
204,-0.7524891008283892,roi67,EMOTION_SHAPES
205,-0.4550948931367785,roi67,EMOTION_SHAPES
206,-0.3630603108005727,roi67,EMOTION_SHAPES
207,-0.31764540401360336,roi67,EMOTION_SHAPES
208,-1.9352245128752172,roi67,EMOTION_SHAPES
209,-0.9171616307670071,roi67,EMOTION_SHAPES
210,-1.337518511142599,roi67,EMOTION_SHAPES
