
 Mean for ROI 8, contrast 7 is 1.540224, st dev is  1.258016
 Mean for ROI 8, contrast 8 is 2.579137, st dev is  1.058292
 Mean for ROI 8, contrast 9 is 0.876782, st dev is  1.051284
 Mean for ROI 8, contrast 10 is -0.093306, st dev is  0.938983
 Mean for ROI 8, contrast 11 is 0.881317, st dev is  0.981397
 Mean for ROI 8, contrast 12 is 0.644257, st dev is  1.025409
 Mean for ROI 8, contrast 13 is 1.330179, st dev is  1.036901
 Mean for ROI 8, contrast 14 is 0.371463, st dev is  0.736655
 Mean for ROI 8, contrast 15 is -0.410681, st dev is  0.642325
 Mean for ROI 8, contrast 16 is 3.980399, st dev is  1.423338
 Mean for ROI 8, contrast 17 is 3.403228, st dev is  1.183035
 Mean for ROI 8, contrast 18 is 0.323092, st dev is  0.812136
 Mean for ROI 8, contrast 19 is 0.566982, st dev is  0.865119
 Mean for ROI 9, contrast 0 is 3.104233, st dev is  2.108290
 Mean for ROI 9, contrast 1 is 0.824167, st dev is  1.628767
 Mean for ROI 9, contrast 2 is 1.578124, st dev is  1.491280
 Mean for ROI 9, contrast 3 is 1.813796, st dev is  1.544746
 Mean for ROI 9, contrast 4 is 1.661351, st dev is  1.422883
 Mean for ROI 9, contrast 5 is 1.286111, st dev is  1.577417
 Mean for ROI 9, contrast 6 is -0.064427, st dev is  1.181499
 Mean for ROI 9, contrast 7 is 0.235983, st dev is  1.212033
 Mean for ROI 9, contrast 8 is 0.879964, st dev is  1.046680
 Mean for ROI 9, contrast 9 is -0.011804, st dev is  1.110065
 Mean for ROI 9, contrast 10 is -0.497575, st dev is  0.960914
 Mean for ROI 9, contrast 11 is -0.169789, st dev is  1.080197
 Mean for ROI 9, contrast 12 is -0.122060, st dev is  0.977580
 Mean for ROI 9, contrast 13 is 0.172042, st dev is  1.152173
 Mean for ROI 9, contrast 14 is 0.146866, st dev is  1.008062
 Mean for ROI 9, contrast 15 is -0.658832, st dev is  0.870035
 Mean for ROI 9, contrast 16 is 0.518958, st dev is  1.005171
 Mean for ROI 9, contrast 17 is 0.777138, st dev is  1.148877
 Mean for ROI 9, contrast 18 is -0.221323, st dev is  0.908689
 Mean for ROI 9, contrast 19 is -0.322843, st dev is  0.944260
 Mean for ROI 10, contrast 0 is 0.995258, st dev is  1.876559
 Mean for ROI 10, contrast 1 is -0.191482, st dev is  1.424240
 Mean for ROI 10, contrast 2 is 0.354387, st dev is  1.460662
 Mean for ROI 10, contrast 3 is 0.403000, st dev is  1.444432
 Mean for ROI 10, contrast 4 is 0.374386, st dev is  1.211859
 Mean for ROI 10, contrast 5 is 0.130958, st dev is  1.585192
 Mean for ROI 10, contrast 6 is -0.642875, st dev is  1.266314
 Mean for ROI 10, contrast 7 is -0.411236, st dev is  1.198595
 Mean for ROI 10, contrast 8 is 0.326945, st dev is  1.019796
 Mean for ROI 10, contrast 9 is 0.259958, st dev is  1.142120
 Mean for ROI 10, contrast 10 is -0.140629, st dev is  1.000899
 Mean for ROI 10, contrast 11 is 0.119880, st dev is  1.068099
 Mean for ROI 10, contrast 12 is 0.245640, st dev is  1.006841
 Mean for ROI 10, contrast 13 is 0.435883, st dev is  1.195878
 Mean for ROI 10, contrast 14 is -0.388782, st dev is  0.919180
 Mean for ROI 10, contrast 15 is -0.988199, st dev is  0.868967
 Mean for ROI 10, contrast 16 is 0.024206, st dev is  1.031910
 Mean for ROI 10, contrast 17 is 0.035967, st dev is  1.168610
 Mean for ROI 10, contrast 18 is -0.529157, st dev is  0.968646
 Mean for ROI 10, contrast 19 is -0.560794, st dev is  0.965502
 Mean for ROI 11, contrast 0 is -1.010982, st dev is  1.099436
 Mean for ROI 11, contrast 1 is -0.450180, st dev is  0.943777
 Mean for ROI 11, contrast 2 is -0.518081, st dev is  1.041047
 Mean for ROI 11, contrast 3 is -0.637338, st dev is  0.968349
 Mean for ROI 11, contrast 4 is -0.653328, st dev is  0.788476
 Mean for ROI 11, contrast 5 is -0.556291, st dev is  1.039518
 Mean for ROI 11, contrast 6 is -0.377545, st dev is  0.689953
 Mean for ROI 11, contrast 7 is -0.535466, st dev is  0.812636
 Mean for ROI 11, contrast 8 is 0.272377, st dev is  0.682103
 Mean for ROI 11, contrast 9 is 0.127840, st dev is  0.814994
 Mean for ROI 11, contrast 10 is -0.287355, st dev is  0.731075
 Mean for ROI 11, contrast 11 is 0.127738, st dev is  0.799944
 Mean for ROI 11, contrast 12 is 0.148947, st dev is  0.742522
 Mean for ROI 11, contrast 13 is -0.050300, st dev is  0.998846
 Mean for ROI 11, contrast 14 is 0.658029, st dev is  0.812102
 Mean for ROI 11, contrast 15 is 1.071834, st dev is  0.983495
 Mean for ROI 11, contrast 16 is 0.098858, st dev is  0.750749
 Mean for ROI 11, contrast 17 is -0.300502, st dev is  0.792917
 Mean for ROI 11, contrast 18 is 0.014450, st dev is  0.733172
 Mean for ROI 11, contrast 19 is 0.100642, st dev is  0.694804
 Mean for ROI 12, contrast 0 is 0.349791, st dev is  1.125768
 Mean for ROI 12, contrast 1 is 0.291556, st dev is  0.903716
 Mean for ROI 12, contrast 2 is 0.495526, st dev is  1.004668
 Mean for ROI 12, contrast 3 is 0.343063, st dev is  0.921147
 Mean for ROI 12, contrast 4 is -0.024386, st dev is  0.855851
 Mean for ROI 12, contrast 5 is 0.212832, st dev is  0.929202
 Mean for ROI 12, contrast 6 is 0.497466, st dev is  0.707598
 Mean for ROI 12, contrast 7 is 0.473840, st dev is  0.771165
 Mean for ROI 12, contrast 8 is 1.248667, st dev is  0.759777
 Mean for ROI 12, contrast 9 is 0.986660, st dev is  0.881164
 Mean for ROI 12, contrast 10 is 0.155679, st dev is  0.722121
 Mean for ROI 12, contrast 11 is 0.997144, st dev is  0.889774
 Mean for ROI 12, contrast 12 is 0.595650, st dev is  0.731227
 Mean for ROI 12, contrast 13 is 0.990540, st dev is  1.039955
 Mean for ROI 12, contrast 14 is -0.304105, st dev is  0.666804
 Mean for ROI 12, contrast 15 is -0.752903, st dev is  0.647450
 Mean for ROI 12, contrast 16 is 0.171303, st dev is  0.715747
 Mean for ROI 12, contrast 17 is 0.003690, st dev is  0.763119
 Mean for ROI 12, contrast 18 is 0.118158, st dev is  0.727252
